Postcode,Latitude,Longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distance to sea,LSOA21 Code,Lower layer super output area 2021,MSOA21 Code,Middle layer super output area 2021,Census output area 2021
RG20GS,51.431218,-0.976251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4139,E01033859,Reading 017I,E02003405,Kennet Island & Green Park,E00174534
RG20GT,51.431677,-0.975334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.488,E01033859,Reading 017I,E02003405,Kennet Island & Green Park,E00174534
RG20GU,51.43059,-0.975387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3785,E01033859,Reading 017I,E02003405,Kennet Island & Green Park,E00174550
RG20GW,51.43153,-0.974877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4877,E01033859,Reading 017I,E02003405,Kennet Island & Green Park,E00174534
RG20GX,51.431209,-0.975258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4439,E01033859,Reading 017I,E02003405,Kennet Island & Green Park,E00174534
RG20GY,51.431306,-0.976033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4294,E01033859,Reading 017I,E02003405,Kennet Island & Green Park,E00174534
RG20GZ,51.430124,-0.976592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2947,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177242
RG20HA,51.438729,-0.967364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4364,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082741
RG20HB,51.434117,-0.970504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.8809,E01033857,Reading 017G,E02003405,Kennet Island & Green Park,E00083039
RG20HE,51.438394,-0.967113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.411,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082742
